route_id,path_type,direction,seq,sid,sname,name_e,lat,lon,path_id
BTS-Sukhumvit,main,back,31,N09,ห้าแยกลาดพร้าว,Ha Yaek Lat Phrao,13.81644,100.56195,
BTS-Sukhumvit,main,back,32,N10,พหลโยธิน 24,Phahon Yothin 24,13.82403,100.5664586,
BTS-Sukhumvit,main,back,33,N11,รัชโยธิน,Ratchayothin,13.8298358,100.5698021,
BTS-Sukhumvit,main,back,34,N12,เสนานิคม,Sena Nikhom,13.8363067,100.5737435,
BTS-Sukhumvit,main,back,35,N13,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.8422956,100.5771266,
BTS-Sukhumvit,main,back,36,N14,กรมป่าไม้,Royal Forest Department,13.8502601,100.5817619,
BTS-Sukhumvit,main,back,37,N15,บางบัว,Bang Bua,13.855994,100.585171,
BTS-Sukhumvit,main,back,38,N16,กรมทหารราบที่ 11,11th Infantry Regiment,13.867528,100.59194,
BTS-Sukhumvit,main,back,39,N17,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.87518,100.5967,
BTS-Sukhumvit,main,back,40,N18,พหลโยธิน 59,Phahon Yothin 59,13.882454,100.600766,
BTS-Sukhumvit,main,back,41,N19,สายหยุด,Sai Yud,13.888442,100.604292,
BTS-Sukhumvit,main,back,42,N20,สะพานใหม่,Saphan Mai,13.896595,100.609132,
BTS-Sukhumvit,main,back,43,N21,โรงพยาบาลภูมิพล-อดุลยเดช,Bhumibol Adulyadej Hospital,13.910722,100.617423,
BTS-Sukhumvit,main,back,44,N22,พิพิธภัณฑ์กองทัพอากาศ,Royal Thai Air Force Museum,13.917945,100.621715,
BTS-Sukhumvit,main,back,45,N23,แยกคปอ.,Yaek Kor Por Aor,13.924983,100.625876,
BTS-Sukhumvit,main,back,46,N24,คูคต,Khu Khot,13.932341,100.646626,
MRT-B,main,go,0,BL01,ท่าพระ,Tha Phra,13.729653,100.474163,
MRT-B,main,go,1,BL02,จรัญฯ 13,Charan 13,13.73961,100.47077,
MRT-B,main,go,2,BL03,ไฟฉาย,Fai Chai,13.7550791,100.4692286,
MRT-B,main,go,3,BL04,บางขุนนนท์,Bang Khun Non,13.7631942,100.473206,
MRT-B,main,go,4,BL05,บางยี่ขัน,Bang Yi Khan,13.7774358,100.4852436,
MRT-B,main,go,5,BL06,สิรินธร,Sirindhorn,13.7840083,100.4934932,
MRT-B,main,go,6,BL07,บางพลัด,Bang Phlat,13.7924323,100.5050274,
MRT-B,main,go,7,BL08,บางอ้อ,Bang O,13.7989,100.50968,
MRT-B,main,go,8,BL09,บางโพ,Bang Pho,13.806386,100.521042,
MRT-B,main,go,9,BL10,เตาปูน,Tao Poon,13.8061278,100.530761,
MRT-B,main,go,10,BL11,บางซื่อ,Bang Sue,13.80313166,100.5393519,
MRT-B,main,go,11,BL12,กำแพงเพชร,Kamphaeng Phet,13.7977896,100.5475589,
MRT-B,main,go,12,BL13,สวนจตุจักร,Chatuchak Park,13.80257,100.55378,
MRT-B,main,go,13,BL14,พหลโยธิน,Phahon Yothin,13.8142366,100.5601484,
MRT-B,main,go,14,BL15,ลาดพร้าว,Lat Phrao,13.8061019,100.5736521,
MRT-B,main,go,15,BL16,รัชดาภิเษก,Ratchadaphisek,13.799141,100.574613,
MRT-B,main,go,16,BL17,สุทธิสาร,Sutthisan,13.7898476,100.5741786,
MRT-B,main,go,17,BL18,ห้วยขวาง,Huai Khwang,13.778505,100.573645,
MRT-B,main,go,18,BL19,ศูนย์วัฒนธรรมแห่งประเทศไทย,Thailand Cultural Centre,13.7663,100.57026,
MRT-B,main,go,19,BL20,พระราม 9,Phra Ram 9,13.7577699,100.5651878,
MRT-B,main,go,20,BL21,เพชรบุรี,Phetchaburi,13.7485118,100.563266,
MRT-B,main,go,21,BL22,สุขุมวิท,Sukhumvit,13.73845642,100.561462,
MRT-B,main,go,22,BL23,ศูนย์การประชุมแห่งชาติสิริกิติ์,Queen Sirikit National Convention Centre,13.7231519,100.5601019,
MRT-B,main,go,23,BL24,คลองเตย,Khlong Toei,13.722292,100.553916,
MRT-B,main,go,24,BL25,ลุมพินี,Lumphini,13.725769,100.545678,
MRT-B,main,go,25,BL26,สีลม,Si Lom,13.729534,100.536631,
MRT-B,main,go,26,BL27,สามย่าน,Sam Yan,13.7323496,100.5299928,
MRT-B,main,go,27,BL28,หัวลำโพง,Hua Lamphong,13.73754,100.517073,
MRT-B,main,go,28,BL29,วัดมังกร,Wat Mangkon,13.74204,100.51021,
MRT-B,main,go,29,BL30,สามยอด,Sam Yot,13.7472014,100.5022359,
MRT-B,main,go,30,BL31,สนามไชย,Sanam Chai,13.7438643,100.4946614,
MRT-B,main,go,31,BL32,อิสรภาพ,Itsaraphap,13.7383192,100.4852881,
MRT-B,main,go,32,BL33,บางไผ่,Bang Phai,13.724613,100.465214,
MRT-B,main,go,33,BL34,บางหว้า,Bang Wa,13.7203785,100.4571807,
MRT-B,main,go,34,BL35,เพชรเกษม 48,Phetkasem 48,13.7155209,100.4456141,
MRT-B,main,go,35,BL36,ภาษีเจริญ,Phasi Charoen,13.7128776,100.4341782,
MRT-B,main,go,36,BL37,บางแค,Bang Khae,13.7119364,100.4223971,
MRT-B,main,go,37,BL38,หลักสอง,Lak Song,13.7109552,100.4100241,
MRT-B,main,back,0,BL38,หลักสอง,Lak Song,13.7109552,100.4100241,
MRT-B,main,back,1,BL37,บางแค,Bang Khae,13.7119364,100.4223971,
MRT-B,main,back,2,BL36,ภาษีเจริญ,Phasi Charoen,13.7128776,100.4341782,
MRT-B,main,back,3,BL35,เพชรเกษม 48,Phetkasem 48,13.7155209,100.4456141,
MRT-B,main,back,4,BL34,บางหว้า,Bang Wa,13.7203785,100.4571807,
MRT-B,main,back,5,BL33,บางไผ่,Bang Phai,13.724613,100.465214,
MRT-B,main,back,6,BL32,อิสรภาพ,Itsaraphap,13.7383192,100.4852881,
MRT-B,main,back,7,BL31,สนามไชย,Sanam Chai,13.7438643,100.4946614,
MRT-B,main,back,8,BL30,สามยอด,Sam Yot,13.7472014,100.5022359,
MRT-B,main,back,9,BL29,วัดมังกร,Wat Mangkon,13.74204,100.51021,
MRT-B,main,back,10,BL28,หัวลำโพง,Hua Lamphong,13.73754,100.517073,
MRT-B,main,back,11,BL27,สามย่าน,Sam Yan,13.7323496,100.5299928,
MRT-B,main,back,12,BL26,สีลม,Si Lom,13.729534,100.536631,
MRT-B,main,back,13,BL25,ลุมพินี,Lumphini,13.725769,100.545678,
MRT-B,main,back,14,BL24,คลองเตย,Khlong Toei,13.722292,100.553916,
MRT-B,main,back,15,BL23,ศูนย์การประชุมแห่งชาติสิริกิติ์,Queen Sirikit National Convention Centre,13.7231519,100.5601019,
MRT-B,main,back,16,BL22,สุขุมวิท,Sukhumvit,13.73845642,100.561462,
MRT-B,main,back,17,BL21,เพชรบุรี,Phetchaburi,13.7485118,100.563266,
MRT-B,main,back,18,BL20,พระราม 9,Phra Ram 9,13.7577699,100.5651878,
MRT-B,main,back,19,BL19,ศูนย์วัฒนธรรมแห่งประเทศไทย,Thailand Cultural Centre,13.7663,100.57026,
MRT-B,main,back,20,BL18,ห้วยขวาง,Huai Khwang,13.778505,100.573645,
MRT-B,main,back,21,BL17,สุทธิสาร,Sutthisan,13.7898476,100.5741786,
MRT-B,main,back,22,BL16,รัชดาภิเษก,Ratchadaphisek,13.799141,100.574613,
MRT-B,main,back,23,BL15,ลาดพร้าว,Lat Phrao,13.8061019,100.5736521,
MRT-B,main,back,24,BL14,พหลโยธิน,Phahon Yothin,13.8142366,100.5601484,
MRT-B,main,back,25,BL13,สวนจตุจักร,Chatuchak Park,13.80257,100.55378,
MRT-B,main,back,26,BL12,กำแพงเพชร,Kamphaeng Phet,13.7977896,100.5475589,
MRT-B,main,back,27,BL11,บางซื่อ,Bang Sue,13.80313166,100.5393519,
MRT-B,main,back,28,BL10,เตาปูน,Tao Poon,13.8061278,100.530761,
MRT-B,main,back,29,BL09,บางโพ,Bang Pho,13.806386,100.521042,
MRT-B,main,back,30,BL08,บางอ้อ,Bang O,13.7989,100.50968,
MRT-B,main,back,31,BL07,บางพลัด,Bang Phlat,13.7924323,100.5050274,
MRT-B,main,back,32,BL06,สิรินธร,Sirindhorn,13.7840083,100.4934932,
MRT-B,main,back,33,BL05,บางยี่ขัน,Bang Yi Khan,13.7774358,100.4852436,
MRT-B,main,back,34,BL04,บางขุนนนท์,Bang Khun Non,13.7631942,100.473206,
MRT-B,main,back,35,BL03,ไฟฉาย,Fai Chai,13.7550791,100.4692286,
MRT-B,main,back,36,BL02,จรัญฯ 13,Charan 13,13.73961,100.47077,
