stopid,name_t,name_e,lat,lon
396,ตรงข้ามบิ๊กซีอิสรภาพ,Opposite Big C Itsaraphap,13.73273104,100.4921729
397,ก่อนถึงแยกตรอกจันทร์,Before Trok Chan Junction,13.71142874,100.5120658
398,ตรงข้ามหมู่บ้านสวัสดิการทหารบก,Army Welfare Housing (Opposite),13.8492591578242,100.642443231088
399,ร่มเกล้า25/6,Romklao 25/6,13.73604426,100.7463541
400,ถนนสังคมสงเคราะห์ ฝั่งประดิษฐ์มนูธรรม,Sangkhom Songkrao Road Pradit Manutham side,13.79328503,100.6112256
401,ตรงข้ามหมู่บ้านเอกสิน,Ekkasin Village (Opposite),13.8203561400647,100.609136337194
405,แยกวงศ์สว่าง,Wong Sawang Intersection,13.829198066,100.52969724
410,ตรงข้ามวัดอรุณ,Wat Arun (Opposite),13.7437913710583,100.486467045896
411,อุทยานเบญจสิริ,Benjasiri Park,13.731363546,100.568244
412,ตรงข้ามประชาอุทิศซอย27,Pracha Uthit Soi 27 (Opposite),13.659534746864,100.500925726605
413,ซอยสาธุประดิษฐ์ 43,Sathu Pradit Soi 43,13.6901808562374,100.534174522386
414,ท่าปล่อยรถ เทเวศร์ (23),Bus Terminal Thewet (23),13.7672404273121,100.506451364141
415,วัดสามพระยา,Wat Sampraya,13.765679158,100.50021734
417,ตรงข้ามโรงเรียนแจงร้อนวิทยา,Opposite Chaengron Wittaya School,13.67363088,100.5182207
418,โรงเรียนช่างอากาศอำรุง,Changarkartamrung School,13.797467533,100.53223609
419,วัดปากบ่อ,Wat Pak Bo,13.71045908,100.6318478
420,มิตรไมตรี10/1 โรงเรียนตะลีมุดดีนีบะห์หมู่บ้านเค.ซี.,Mitmaitri 10/1  Talimudanibi School K.C. Village,13.8575012212813,100.83309012958
428,ซอยเลียบวารี 26,Soi Liap Wari 26,13.855194337,100.84331067
436,ตรงข้ามหมู่บ้านบุราพันธ์ ตรงข้ามธนันท์วัฒนะกิจ,Burapan Village (Opposite),13.852532451,100.87495622
439,ตรงข้ามหมู่บ้านดิเอ็กซ์เทนโซ่,Opposite Muban The Extenso,13.84922879,100.8882098
441,หมู่บ้านทองธารา,Muban Thong Tara Village,13.84738208,100.8926873
447,ตรงข้ามหมู่บ้านแลนด์วิลล่า,Land Villa Village (Opposite),13.9288268063217,100.407560565229
448,มิตรไมตรี8/3 หมู่บ้านกิตติชัยวิลลา2 ซีนะอุปถัมภ์,Mit Maitri 8/3  Kittichai Villa Village 2  Zina Foster,13.8577359804053,100.835140995889
449,ซอยมิตรไมตรี 8,Soi Mit Maitri 8,13.8587832472457,100.844651816527
450,ซอยมิตรไมตรี 6,Soi Mit Maitri 6,13.8593450000015,100.849705102843
451,โรงเรียนหนองจอกพิทยานุสสรณ์มัธยม,Nong Chok Phitthayanusorn Secondary School,13.8595758111654,100.853581431545
454,ตรงข้ามซอยพัฒนสุข,Soi Phatanasuk (Opposite),13.900631689,100.86286501
455,หมู่บ้านเทียนทอง4,Muban Thian Thong 4,13.90721588,100.8631175
457,หมู่บ้านเธียรทอง 3,Thien Thong 3 Village,13.924552929913,100.864125975649
460,โรงเรียนหลวงแพ่ง,Luang Phaeng School,13.81561838,100.9338019
461,เคหะ สันติสุข,Kheha Suntisuk,13.83533019,100.9077053
462,เดอะไพน์กอล์ฟแอนด์ลอดจ์,The Pine Golf & Lodge,13.8366603587615,100.905410151298
463,ตรงข้ามซอยสันติสุข 73,Soi Santi Suk 73 (Opposite),13.838743161,100.90209198
464,ซอยสันฆสันติสุข 69,Soi Sangkhasanti Suk 69,13.842211,100.900103
466,หมู่บ้านทองธารา,Muban Thong Thara,13.84699744,100.8929542
467,โรงเรียนสามแยกท่าไข่,Sam Yaek Tha Khai School,13.8484680703504,100.890759145055
468,ซอยจันทร์สุข(ขาเข้า),Soi Chan Suk,13.849118478,100.88808029
470,ซอยสันติสุข 28,Soi Santi Suk 28,13.8505980802391,100.881858838035
472,ตรงข้ามโรงเรียนสุเหร่าหะยีมินา,Hayeemina School (Opposite),13.8538806149211,100.869187295686
473,ตรงข้ามโรงพยาบาลเวชการุณย์รัศมิ์,Wetchakarunrasm Hospital (Opposite),13.8557109583226,100.858218558739
475,บิ๊กซีหนองจอก,Big C Nong chok,13.8557073418162,100.854726924351
476,ชุมชนแผ่นดินทองบ้านกระทุ่มราม,Ban Krathum Ram Community,13.8556015934642,100.851424783894
478,หมู่บ้านนันทวัน 5,Nanthawan Village 5,13.8553637510333,100.847306295402
479,ตรงข้ามซอยเลียบวารี 26,Soi Liap Wari 26 (Opposite),13.8549423465424,100.842873673547
480,ชุมชนพิบูรณ์ทรัพย์ 1,Piboonsap Community 1,13.854582878,100.83866023
482,หมู่บ้านนันทวัน10,Nanthawan 10 Village,13.8541870654286,100.834670461471
486,ซอยเลียบวารี 11,Soi Liap Wari 11,13.852736,100.818781
488,ตรงข้ามโรงเรียนฮาซานันเอี๊ยะซาน,Hazanan Ia San School (Opposite),13.8521683921347,100.813537486671
491,ตรงข้ามโรงเรียนสุเหร่าทรายกองดิน,Sai Kong Din Mosque School (Opposite),13.8335572313485,100.77471568042
494,ซอยสุขถาวร 1,Soi Sukthawon 1,13.8289605328125,100.767342166663
495,โรงเรียนสุเหร่าสายกองดิน,Surao Sai Kong Din School,13.83416721,100.7750549
497,ศูนย์ถ่ายทอดเทคโนโลยีการเกษตรประจำแขวงซอยลาวัง,Agricultural Technology Transfer Center Khwaeng Soi La Wang,13.847987776828,100.799952488367
498,โรงเรียนวัดทรัพย์สโมสรนิกรเกษม,Wat Sap Samoson Nikorn Kasem School,13.849918627906,100.80366807522
500,โรงเรียนฮาซานันเอี๊ยะซาน,Hazanan Ia San School,13.8523642132897,100.813239323445
503,mrt บางรักใหญ่,mrt Bangrakyai,13.87693018,100.4455144
504,วัดบางแพรก,Wat Bang Phraek,13.8750450883838,100.42733299
505,ซอยวัดลาดปลาดุก,Soi Wat Latpladuk,13.90508874,100.4069275
510,แยกสะพานเหลือง [ขาออก],Lueang Bridge Intersection,13.73668468,100.52185003
511,แยกประดิพัทธ์(ตรงข้ามซอย43),Pradipat Intersection (Opposite Soi 43),13.7943644667206,100.538974256737
513,ตรงข้ามหมู่บ้านคลอง 5,Opposite Khlong 5 Village,14.01255657,100.7159722
514,หมู่บ้านปรารถนาคันทรีโฮม,Prathana Country Home Village,14.0124504,100.7164854
515,รังสิต-นครนายก 61(ขาเข้า),Rangsit-Nakhon Nayok 61,13.9930309509282,100.65454079299
517,ธูปเตมีย์,Thupatemi,13.9498772309063,100.623700502176
518,ซอยจามร 5,Soi Chamorn 5,13.9507959681713,100.633974928035
521,เทศบาลคูคต,Municipal Khukhot,13.9419377161089,100.642384740148
522,ตรงข้ามวัดโพสพ,Wat Phosop (Opposite),13.9392368854598,100.642129624333
524,ซอยสุนีย์,Soi Sunee,13.9323295298553,100.652984375439
525,โรงเรียนผ่องสุวรรณ,Phong Suwan School,13.9322289523688,100.657269715649
526,ซอยเปียร์นนท์,Soi Pianon,13.9321313362223,100.66074851
527,วิเชียรคลอง 3,Wichian Khlong 3,13.9321096170203,100.664014787404
529,หมู่บ้านคัทลียา,Cattleya Village,13.9325234983115,100.675231671062
531,ตรงข้ามวัดคลองชัน,Wat Khlong Chan (Opposite),13.9330663098689,100.688739896737
533,โรงงานชัยบูรณ์,Chai Boon Factory,13.9334922852877,100.699472176527
535,ไปรษณีย์ลำลูกกา โฮมโปร,Post Office Lamlukka,13.934158036,100.71965924
536,ตรงข้ามโรงเรียนวัดประชุมราษฎร์,Opposite Wat Sametrat School,13.93425596,100.7219952
537,คลอง 6(ขาออก),Khlong 6,13.9343606385033,100.72705392979
538,บริษัทไทยไทโยจำกัด,Thai Taiyo Company Limited,13.934483823,100.73146707
539,หมู่บ้านฟ้าปิยรมย์,Fah Piyarom Village,13.9347574915612,100.740143207824
542,สำนักงานเขตลำลูกกา,Lamlukka District Office,13.9348536736158,100.749480208912
544,ตรงข้ามเทสโก้โลตัสลำลูกกาคลอง 6,Tesco Lotus Lam Luk Ka Khlong 6 (Opposite),13.9343901599914,100.736123845439
546,ตรงข้ามโรงเรียนวัดประชุมราษฎร์,Wat Prachum Rat School (Opposite),13.934026202,100.7222781
547,ตรงข้ามโฮมโปรลำลูกกา,Opposite Home Pro Lam Luk Ka,13.93395362,100.7201048
548,ตรงข้ามบิ๊กซีคลอง 5 ลำลูกกา,Big C Lamlukka Khlong 5 (Opposite),13.9337632394028,100.715012183473
550,ตรงข้ามท่าเรือราชวรดิษฐ์,Opposite Ratcha Woradit Pier,13.74998668,100.4895563
551,ท่าช้าง,Tha Chang,13.751899898,100.48927444
552,กระทรวงกลาโหม,Ministry of Defense,13.75030864,100.49396187
553,เทสโก้โลตัสศาลายา,Tesco Lotus Salaya,13.7863494273271,100.298425041718
555,ตรงข้ามวัดดอนหวาย,Wat Don Wai (Opposite),13.772222894,100.28538793
559,ตรงข้ามวัดท่าพูด,Wat Tha Phut (Opposite),13.746996831,100.27700609
560,ซอยไร่ขิง26,Soi Rai Khing 26,13.74432063,100.2729264
561,ซอยไร่ขิง22,Soi Rai Khing 22,13.74274595,100.270023
562,ตรงข้ามศึกษาภัณฑ์ไร่ขิง,Suksapan Rai Khing (Opposite),13.740769005,100.26680587
566,ตรงข้ามซอยไร่ขิง 22,Opposite Soi Rai Khing 22,13.74292209,100.2700787
567,ตรงข้ามซอยไร่ขิง 26,Opposite Soi Rai Khing 26,13.74442145,100.2729013
568,วัดท่าพูด,Wat Tha Phut,13.747104764,100.27695953
570,ตรงข้ามซอยไร่ขิง 42,Soi Rai Khing 42 (Opposite),13.762473208,100.28539716
571,ตลาดดอนหวาย,Don Wai Market,13.768439479,100.28591956
572,วัดดอนหวาย,Wat Don Wai,13.7719496718552,100.285386502806
574,สถานีขนส่งสินค้าพุทธมณฑล,Phutthamonthon Terminal,13.7864784170749,100.288692543437
575,หมู่บ้านพฤกษ์ลดาปิ่นเกล้าสาย 5,Pruklada Pinklao Sai 5 Village,13.7866727551142,100.292771003473
578,มหาวิทยาลัยเทคโนโลยีราชมงคลวิทยาเขตศาลายา,Rajamangala University of Technology Salaya Campus,13.795770915,100.30321475
579,ที่ว่าการอำเภอพุทธมณฑล,Phutthamonthon District Office,13.801378,100.322398
580,ตรงข้ามหอนาฬิกาศาลายา,Opposite Salaya Clock Tower,13.800001,100.327338
582,โรงเรียนอนุบาลพลอยแก้ว,Ploykaew Kindergarten,13.7887135067817,100.356535348529
583,หมู่บ้านพระปิ่น2,Phra Pin 2 Village,13.78665978,100.3759196
584,หมู่บ้านเดอะซิตี้,The City Village,13.7855878811107,100.386423567367
585,สำนักงานเขตตลิ่งชัน,Taling Chan District Office,13.777661929,100.45537287
587,โรงเรียนนิลประพันธ์,Nilaprapan School,13.780301245,100.45955534
588,ตรงข้ามตึกบางขุนนนท์,Opposite Bangkhunnon Tower,13.78095812,100.4626366
590,วัดศรีสุดาราม,Wat Srisudaram,13.7659561713352,100.472052845612
591,วัดบางขุนนนท์,Wat Bangkhunnon,13.76846844,100.4698522
592,สำนักงานเขตบางกอกน้อย,Bangkok Noi District Office,13.77122712,100.4681511
593,วัดเจ้าอาม,Wat Chao Nam,13.7750993908578,100.466090716097
594,กรมบังคับคดี,Legal Execution Department,13.777193614,100.46514751
595,แยกชักพระ,Chak Phra Intersection,13.781268158,100.46477298
596,บางขุนนนท์ทาวเวอร์(ชักพระ1),Bangkhunnon Tower (Soi Chak Phra 1),13.781314057,100.464041
597,ตรงข้ามสำนักงานเขตตลิ่งชัน,Taling Chan District Office (Opposite),13.777567088,100.45527854
599,ตรงข้ามกรมบังคับคดี,Legal Execution Department (Opposite),13.7771693893349,100.465323412596
600,ตรงข้ามวัดเจ้าอาม,Wat Chao Nam (Opposite),13.7758653099855,100.465950072176
601,ตรงข้ามสถานีตำรวจบางขุนนนท์,Opposite Bangkhunnon Police Station,13.77024973,100.4688771
602,ตรงข้ามวัดบางขุนนนท์,Opposite Wat Bangkhunnon,13.76829597,100.470169
605,หน้าบริษัทหัวไผ่เซ็นเตอร์จำกัด,Hua Phai Center Company Limited,13.667200879,100.52317607
606,ตรงข้ามซอยพระราชวิริยาภรณ์ 16,Soi Phraratchawiriyaphon 16 (Opposite),13.667928323,100.52183078
608,บทที่หนึ่ง ราษฎร์บูรณะ,Chapter One Ratburana,13.67548993,100.5171515
610,ซอยราษฎร์บูรณะ 46 ตรงข้าม,Soi Rat Burana 46 Opposite,13.67082327,100.5190615
611,ซอยบูรณะสุดเขต 4,Soi Burana Sutket 4,13.669332556038,100.519353824561
612,ซอยพระราชวิริยาภรณ์ 16,Soi Phraratchawiriyaphon 16,13.66809642,100.52167705
613,โรงเรียนพลอยจตุรจินดา,ploy chaturachinda school,13.66736311,100.5231017
616,อู่สวนสยาม,Bus Depot Suan Siam,13.8012502183965,100.693660465018
617,ตรงข้ามตลาดนางลิ้นจี่,Nang Linjee Market,13.7081429520913,100.542986105439
618,สถานเอกอัครราชทูตอังกฤษ,British Embassy,13.7450971058906,100.547768982816
619,รัตนคลินิค หมู่บ้านซื่อตรง,Ratana Clinic  Sue Trong Village,13.8700795530871,100.467389622176
620,วัดมะเดื่อ,Wat Maduea,13.8747220071164,100.423006152349
621,วัดไผ่เหลือง,Wat Phai Lueang,13.8755773614571,100.427527530173
622,โรงเรียนเพชรรัตน์,Petcharat School,13.8483772049223,100.543331726737
623,ตรงข้ามซอยประชาชื่น44,Opposite Soi Prachachuen 44,13.84637091,100.5428506
624,ตรงข้ามประชาชื่นเรสซิเดนซ์,Opposite Prachachuen Residence,13.8412918,100.5416307
625,หมู่บ้านชลนิเวศน์,Chon Niwet Village,13.8385967532672,100.541031885649
626,บริษัทซีเมนต์ไทย ตรงข้ามปั๊มน้ำมันปตท,Cement Thai Village,13.8352794630397,100.540270701632
627,ซอยคลังมนตรี,Soi Khlang Montri,13.8271387330584,100.53835156021
628,ซอยเสริมสุข,Soi Soem Suk,13.824480707,100.53769741
629,เทคนิควิมล,Wimol Business Administration Technological College,13.819088754,100.53644611
630,สะพาน 99,Bridge 99,13.817156684,100.5359989
631,ตรงข้ามประชาชื่น 11,Opposite Prachachuen 11,13.81305701,100.5350459
632,ตรงข้ามยูดีไลท์บางซื่อ,Opposite U Delight Bangsue,13.81111478,100.5345652
633,เทสโก้ โลตัส ประชาชื่น,Tesco Lotus Prachachuen,13.80692844,100.5336258
634,ประชาชื่น 1,Prachachuen 1,13.80799487,100.5336467
635,ตรงข้ามสำนักงานเขตบางซื่อ,Bangsue District Office (Opposite),13.809843301,100.53407975
636,ประชาชื่น 12,Prachachuen 12,13.81378033,100.5350068
638,ตรงข้ามเทคนิควิมล,Wimol Business Administration Technological College (opposite),13.818553947,100.53612124
639,ตรงข้ามซอยเสริมสุข,Soi Soem Suk (Opposite),13.824018395,100.53739468
640,ตรงข้ามซอยกลางเมือง,Opposite Soi Klangmuang,13.82656179,100.5380107
641,ตรงข้ามแยกประชานุกูล,Pracha Nu Kun Intersection (Opposite),13.8289272128192,100.538552157614
642,โรงพยาบาลเกษมราษฎร์,Kasemrad Hospital,13.83287281,100.5394729
643,ตรงข้ามปูนซิเมนต์ไทย,Cement Thai Village (Opposite),13.8348197659466,100.539962275229
644,ตรงข้ามหมู่บ้านชลนิเวศน์,Opposite Chon Niwet Village,13.83809599,100.5407334
645,ตรงข้ามประชานิเวศน์1,Pracha Niwet 1 Village (Opposite),13.8417283430041,100.541571968702
646,ตรงข้ามประกันสังคม,Social Security Office (Opposite),13.845486685,100.54245829
647,ตรงข้ามโรงเรียนเพชรรัตน์,Petcharat School (Opposite),13.848182120078,100.543089113263
648,ตรงข้ามโฮมโปรงามวงศ์วาน 24,Homepro Prachachuen (Opposite),13.8520560271573,100.544192453473
649,ตรงข้ามมหาวิทยาลัยธุรกิจบัณฑิตย์,Dhurakij Pundit University (Opposite),13.871000172,100.54852452
650,ตรงข้ามโรงแรมกรุงเทพมิดทาวน์,Opposite Bangkok midtown hotel,13.75749787,100.5242289
651,ตรงข้ามโรงเรียนกิ่งเพชร,Opposite King Phet School,13.75153688,100.5253803
652,ปณ.รองเมือง,Post Office Rongmueang,13.744913003,100.52321792
653,ตรงข้ามโรงเรียนมณีวัฒนา,Opposite Manewattana School,13.69539809,100.3794855
654,หมู่บ้านนิสา,Nisa Village,13.6980345433481,100.378238434561
655,บ้านนายพลกฤษณ์,Paulkris Home,13.6992029270437,100.377687961298
656,หมู่บ้านขวัญทิพย์,Khwan Thip Village,13.7047117154948,100.375094239122
658,ซอยโชติวิจิตร,Soi Chotivichit,13.7050086118705,100.375094029122
659,หมู่บ้านสันติสุข,Santisuk Village,13.6996635430853,100.377604737824
663,หมู่บ้านประชานิเวศน์ใจดี,Pracha Niwet Generous Village,13.88157498,100.5375167
664,แยกพงษ์เพชร,Phong Phet Intersection,13.8552268250072,100.544955553473
666,ตรงข้ามหมู่บ้านประชานิเวศน์ 1,Opposite Pracha Niwet 1 village,13.84321063,100.5419309
667,ตรงข้ามวงเวียนทหารที่ 11,Opposite 11th Military Circle,13.78393861,100.523295
668,ณิชดา แมนชั่น,Nichada Mansion,13.78491819,100.5217362
670,ซอยสันติสุข,Soi Suntisuk,13.7837767604508,100.519064961298
671,ตรงข้ามพรรคชาติไทย,Chartthaipattana Party (Opposite),13.779242924,100.51675383
677,แยก ขัตติยานี,Yaek Khattiyani,13.77898625,100.516514
678,ซอยร่วมจิต 4,Soi Ruamchit 4,13.78466953,100.5194217
680,แซม เอก พิชัย,Sam Yeak Phichai,13.78545957,100.5210491
682,ตรงข้ามประชานิเวศน์2,Opposite Pracha Niwet 2,13.88056736,100.5438768
684,หมู่บ้านเอื้ออาทร,Generous Village,13.881538784,100.53742358
686,โรงพยาบาลท่าเรือ,Tha Ruea Hospital,13.71400837,100.5668627
687,มหาวิทยาลัยกรุงเทพ,Bangkok University,13.711316213,100.58303775
689,กองบัญชาการตำรวจนครบาล,Metropolitan Police Bureau,13.768937714,100.50956134
690,โรงเรียนราชวินิต,Rachawinit School,13.77061307,100.5086273
691,สวนอัมพร,Amphorn Park,13.769167372,100.50971342
694,เคหะรามอินทรา,Raminthra Housing,13.8201518737153,100.666897139122
695,แชมเบอร์ส เฌอ รามอินทรา,Chambers Cher Raminthra,13.81981971,100.6623683
696,ซอยนวมินทร์ 74 แยก 1-9,Soi Nawa Min 74 (1-9 Intersection),13.8199767473466,100.659310047824
697,เวิร์คเพลสราชพฤกษ์-จรัญฯ,Workplace Ratchaphruek-Charan,13.8202014019857,100.662158346143
698,ตรงข้ามเคหะรามอินทรา,Raminthra Housing (Opposite),13.8204663156203,100.66759412
702,อู่ธารทิพย์,Bus Depot Thantip,13.644015264,100.47885714
704,หมู่บ้านบางมดแลนด์,Bang Mot Land Village,13.6504038545888,100.489228403647
705,หมู่บ้านสวนธนบุรีรมย์,Suanthon Village,13.6510345579453,100.487312214808
709,วัดดุสิตาราม,Wat Dusitaram,13.765013076,100.48802218
712,ตรงข้ามโรงเรียนมหรรณพาราม,Mahannaparam School (Opposite),13.778395351,100.44697759
713,หมู่บ้านอ้อมน้อย,Om Noi Village,13.71127819,100.2977511
714,T.O.P.Cosmatic,T.O.P Cosmetic & Manufacture Co.  Ltd.,13.7151182660643,100.298439370841
718,ซาบีน่า,Sabina,13.74973222,100.3006381
723,ตรงข้ามตลาดถุงเงิน,Opposite Moneybag Market,13.71949335,100.2987013
725,ตรงข้ามหมู่บ้านอ้อมน้อย,Opposite Om Noi Village,13.71135467,100.2982044
726,ท่าตลาด 6,Tha Talat 6,13.74244964,100.2504988
728,บริษัทโตโยต้าท่าจีนผู้จำหน่ายโตโยต้าจำกัด,Toyota Thajean Toyota's Dealer Co.  Ltd.,13.7395394200179,100.241423072386
730,หมู่บ้านศรีสามพราน,Sri Sam Phran Village,13.7305119708025,100.248922694561
731,หมู่บ้านสิวารัตน์ 8,Siwarat 8 Village,13.7285176018923,100.250622088579
733,รร.ยอแซฟอุปถัมภ์,Joseph Upatham School,13.7184655838408,100.259020445649
734,แยกวัดเทียนดัด [A],Wat Thian Dat Intersection [A],13.7146882940636,100.26169545021
735,ตรงข้าม รร.ยอแซฟอุปถัมภ์,Joseph Upatham School (Opposite),13.7179319278038,100.258974295859
737,สถานีขนส่งอ้อมใหญ่,Om Yai Bus Depot,13.72559338,100.2526333
739,ตรงข้ามฮอนด้าสามพราน,Honda Sampran,13.7304329328143,100.248512257824
740,สวนสามพราน,Rose Garden,13.7354548634112,100.24432360979
741,แยกพุทธมณฑลสาย 6,Yeak Phutthamonthon sai 6,13.73927767,100.2411313
742,ซอยวิพัชรเจียมพัฒนา,Soi Wi Phatchara Chiam Phattana,13.74066089,100.2400425
743,พุทธมณฑลสาย 6,Phutthamonthon Sai 6,13.74096296,100.2403714
744,ตรงข้ามท่าตลาด 6,Opposite Tha Talat 6,13.74254177,100.2505249
745,เจริญราษฎร์ 7 แยก 35-4,Charoen Rat 7 Intersection 35-4,13.6905096079259,100.522871651298
746,ตรงข้ามซอยเทอดไท 43 ตรงข้ามวัดนางชี,Soi Thoet Thai 43 (Opposite),13.7186160267802,100.468248881298
748,เทพประทับ,Thep Prathap,13.7868142858893,100.518854516143
752,ซอยบ้านกลาง 2/5(ขาเข้า),Soi Banklang 2/5,13.996312926,100.55447735
753,ถนนประตูน้ำเชียงราก,Pratunam Chiangrak Road,13.99360798,100.5511535
754,สถาบันเทคโนโลยีนานาชาติสิรินธรม.ธรรมศาสตร์,Sirindhorn International Institute of Technology. Thammasat.,13.9815115870726,100.550812731849
755,ตรงข้ามบางกอกกอล์ฟคลับ,Opposite Bangkok Golf Club,13.97845,100.5508119
757,แยกตัดทางหลวง 306,Highway 306 Intersection,13.9684345169754,100.55142989319
758,ซอยร่วมศักดิ์,Soi Ruam Sak,13.95812312,100.5508378
759,โรงเรียนพหฤทัยนนทบุรี,Phaharuthai Nonthaburi School,13.94863365,100.5464362
760,หมู่บ้านประดับสุข,Pradapsuk Village,13.9422812141301,100.543123202176
761,ตรงข้ามหมู่บ้านประดับสุข,Pradapsuk Village (Opposite),13.9417451128206,100.542539568739
762,ตรงข้ามโรงเรียนพหฤทัยนนทบุรี,Opposite Phaharuthai Nonthaburi School,13.94819773,100.5458673
763,ตรงข้ามซอยร่วมศักดิ์,Opposite Soi Ruam Sak,13.95809425,100.550531
764,ตลาดปู่โพธิ์,Pu Pho Market,13.96791301,100.5495394
766,บางกอกกอล์ฟคลับ(ถนนติวานนท์ขาออก),Bangkok Golf Club,13.9782877133128,100.550525830445
767,เทคโนโลยีนานาชาติสิรินธรม.ธรรมศาสตร์,Sirindhorn International Institute of Technology. Thammasat.,13.981552184208,100.55054089042
768,วัดบางกระดี่(ขาออก),Wat Bang Kradi,13.9939008070985,100.550976149963
769,ตรงข้ามซอยบ้านกลาง2/5,Opposite Soi Banklang 2/5,13.99664137,100.5544465
773,วัดน้อยนางหงส์,Wat Noy Nang Hong,13.77085601,100.4877793
774,ตรงข้ามวัดอมาศรี(สามกุฏิ),Wat Amasri (Opposite),13.77284127,100.48994929
775,โรงพิมพ์สยามรัฐ,Siamrath Company Limited (Printing),13.7713530971211,100.493280868035
777,วัดบางยี่ขัน,Wat Bang Yi Khan,13.77068978,100.4880241
779,หมู่บ้านรุ่งกิจการ์เด้นโฮม,Rungkit Garden Home Village,13.75099082,100.746559
780,แยกสุทธิสาร(ดับเพลิง),Sutthisan Intersection (Fire Station),13.7883561210625,100.561669496316
781,บริษัทกรุงเทพธุรภัณฑ์กรุ๊ปจำกัด,Bangkok Busiquipt Group Co.  Ltd.,13.7864321097289,100.560165089728
782,สนามกอล์ฟยูนิโก้,Unico Grande Golf Course,13.7459073665468,100.666696287404
783,โรงพยาบาลสงฆ์,Priest Hospital,13.760933423,100.52810543
784,โรงเรียนปทุมคงคา,Pathum Kongka School,13.718834,100.580748
786,ตรงข้ามพี่น้องชายบุญ,Opposite Chai Bun Brothers,13.93321335,100.699256
787,วัดคลองชัน,Wat Khlong Chan,13.9328479833864,100.68961793
788,แยกลำลูกกาคลอง4,Yeak Lamlukka Khlong 4,13.9326482,100.684661
789,หมู่บ้านเอราวัณ,Erawan Village,13.93259527,100.6768311
791,สนามชนไก่ในพล,Sanam Chon kai Naiphon,13.9318548,100.6644455
792,ตรงข้ามซอยเปียโน,Opposite Soi Pianon,13.93189362,100.6607337
793,ตรงข้ามซอยสุนีย์,Soi Sunee (Opposite),13.9320639387751,100.653908608912
795,โรงเรียนระเบียบ,Rabiab Wittaya School,13.9364306889104,100.641568465439
797,ตรงข้ามเทศบาลคูคต,Khukhot Municipality (Opposite),13.9425630565482,100.64218898
798,ตรงข้ามโลตัสลำลูกกา,Tesco Lotus Lam Lukka,13.9479107650426,100.64271515979
799,หมู่บ้านชัชวาลย์วงศ์,Muban Chatchawan Wong,13.94916182,100.6428422
800,ลำลูกกา 4 ซอยจามร,Lam Lukka 4 Soi Jamon,13.950559936,100.63380472
801,วัดลาดสนุ่น,Wat Latsanoon,13.9517699640992,100.630002371051
802,สนามกีฬาธูปะเตมี กองทัพอากาศ,Dhupateme Royal Thai Air Force Sports Stadium,13.94954142,100.6260887
